date,n_nodes,cos_pos,pred_pos,overlap_cos_pred_pos,cos_neg,pred_neg,overlap_cos_pred_neg,cos_pos_to_pred_neg,cos_neg_to_pred_pos
2020-05-07,10,72,35,30,24,10,8,1,4
2020-05-08,10,72,40,31,22,5,5,0,6
2020-05-11,10,72,40,30,20,5,4,1,6
2020-05-12,10,72,43,31,20,2,2,0,8
2020-05-13,10,66,38,27,20,7,3,1,7
2020-05-14,10,62,33,24,18,12,5,2,4
2020-05-15,10,52,36,20,18,9,3,1,6
2020-05-18,10,50,41,19,26,4,3,1,10
2020-05-19,10,52,45,21,24,0,0,0,12
2020-05-20,10,54,45,22,24,0,0,0,12
2020-05-21,10,54,42,21,26,3,1,1,12
2020-05-22,10,56,44,23,30,1,1,0,14
2020-05-26,10,56,44,23,28,1,0,0,14
2020-05-27,10,56,45,23,28,0,0,0,14
2020-05-28,10,56,44,22,28,1,0,1,14
2020-05-29,10,56,41,22,28,4,1,1,13
2020-06-01,10,56,45,23,24,0,0,0,12
2020-06-02,10,58,44,24,24,1,1,0,11
2020-06-03,10,60,45,25,24,0,0,0,12
2020-06-04,10,60,41,24,16,4,1,1,7
2020-06-05,10,60,41,22,12,4,0,3,6
2020-06-08,10,62,45,26,12,0,0,0,6
2020-06-09,10,70,42,30,10,3,1,0,4
2020-06-10,10,78,45,34,0,0,0,0,0
2020-06-11,10,78,44,34,0,1,0,0,0
2020-06-12,10,74,37,30,0,8,0,2,0
2020-06-15,10,70,36,27,0,9,0,3,0
2020-06-16,10,74,36,30,2,9,1,2,0
2020-06-17,10,76,36,31,2,9,1,2,0
2020-06-18,10,74,37,30,4,8,2,2,0
2020-06-19,10,74,44,32,10,1,0,0,5
2020-06-22,10,76,34,30,10,11,5,3,0
2020-06-23,10,76,42,33,10,3,2,0,3
2020-06-24,10,76,30,25,10,15,4,8,1
2020-06-25,10,76,27,23,10,18,4,10,1
2020-06-26,10,74,33,26,8,12,0,6,4
2020-06-29,10,66,34,24,8,11,2,4,2
2020-06-30,10,64,35,22,8,10,0,5,4
2020-07-01,10,62,42,24,10,3,0,2,5
2020-07-02,10,62,43,26,10,2,0,0,5
2020-07-06,10,62,44,25,12,1,0,1,6
2020-07-07,10,64,44,26,12,1,0,1,6
2020-07-08,10,58,39,23,16,6,1,1,7
2020-07-09,10,48,32,16,28,13,10,3,4
2020-07-10,10,48,33,16,26,12,9,3,4
2020-07-13,10,54,41,22,28,4,0,0,14
2020-07-14,10,52,38,21,30,7,7,0,8
2020-07-15,10,52,45,21,32,0,0,0,16
2020-07-16,10,52,45,21,32,0,0,0,16
2020-07-17,10,50,45,20,32,0,0,0,16
2020-07-20,10,50,42,20,30,3,3,0,12
2020-07-21,10,50,42,19,30,3,2,1,13
2020-07-22,10,48,41,19,32,4,3,0,13
2020-07-23,10,48,39,19,32,6,6,0,10
2020-07-24,10,48,28,16,32,17,8,3,8
2020-07-27,10,48,39,19,32,6,4,0,12
2020-07-28,10,48,38,18,34,7,6,1,11
2020-07-29,10,50,33,17,34,12,8,3,9
2020-07-30,10,50,34,18,34,11,7,2,10
2020-07-31,10,48,29,15,34,16,10,4,7
2020-08-03,10,46,25,12,30,20,11,6,4
2020-08-04,10,42,28,12,32,17,10,4,6
2020-08-05,10,38,30,11,32,15,8,3,8
2020-08-06,10,40,29,11,34,16,9,4,8
2020-08-07,10,40,32,13,32,13,6,2,10
2020-08-10,10,42,36,15,34,9,4,1,13
2020-08-11,10,42,36,16,36,9,5,0,13
2020-08-12,10,42,41,16,40,4,4,0,16
2020-08-13,10,44,45,17,40,0,0,0,20
2020-08-14,10,44,43,16,40,2,1,1,19
2020-08-17,10,44,45,17,38,0,0,0,19
2020-08-18,10,44,45,17,38,0,0,0,19
2020-08-19,10,44,45,17,38,0,0,0,19
2020-08-20,10,44,44,16,32,1,0,1,16
2020-08-21,10,46,40,16,30,5,1,2,14
2020-08-24,10,48,43,19,26,2,0,0,13
2020-08-25,10,50,38,18,24,7,3,2,9
2020-08-26,10,50,45,20,22,0,0,0,11
2020-08-27,10,50,45,20,20,0,0,0,10
2020-08-28,10,52,36,18,22,9,3,3,8
2020-08-31,10,56,45,23,22,0,0,0,11
2020-09-01,10,58,39,22,14,6,3,2,4
2020-09-02,10,64,41,27,14,4,2,0,5
2020-09-03,10,66,38,25,14,7,3,3,4
2020-09-04,10,66,35,23,14,10,3,5,4
2020-09-08,10,66,44,28,18,1,0,0,9
2020-09-09,10,68,43,27,18,2,0,2,9
2020-09-10,10,66,37,27,18,8,1,1,8
2020-09-11,10,64,42,27,18,3,0,0,9
2020-09-14,10,66,37,21,18,8,1,7,8
2020-09-15,10,68,31,19,18,14,1,10,8
2020-09-16,10,64,38,21,18,7,0,6,9
2020-09-17,10,68,34,23,18,11,1,6,8
2020-09-18,10,68,35,20,18,10,0,9,9
2020-09-21,10,70,32,19,14,13,0,11,7
2020-09-22,10,72,40,29,16,5,1,2,7
2020-09-23,10,72,45,31,14,0,0,0,7
2020-09-24,10,70,41,29,6,4,1,1,2
2020-09-25,10,68,45,29,6,0,0,0,3
2020-09-28,10,62,37,24,2,8,0,2,1
2020-09-29,10,60,37,21,2,8,0,4,1
2020-09-30,10,58,37,23,2,8,0,1,1
2020-10-01,10,56,40,23,0,5,0,0,0
2020-10-02,10,58,43,23,2,2,0,1,1
2020-10-05,10,58,44,24,2,1,0,0,1
2020-10-06,10,56,45,23,6,0,0,0,3
2020-10-07,10,56,42,22,8,3,1,1,3
2020-10-08,10,56,42,21,8,3,0,2,4
2020-10-09,10,62,45,26,6,0,0,0,3
2020-10-12,10,64,45,27,0,0,0,0,0
2020-10-13,10,76,45,33,0,0,0,0,0
2020-10-14,10,78,45,34,0,0,0,0,0
2020-10-15,10,78,45,34,0,0,0,0,0
2020-10-16,10,76,44,33,0,1,0,0,0
2020-10-19,10,78,39,30,0,6,0,4,0
2020-10-20,10,78,43,33,0,2,0,1,0
2020-10-21,10,74,38,27,2,7,0,5,1
2020-10-22,10,72,32,22,12,13,1,9,5
2020-10-23,10,68,39,25,18,6,2,4,7
2020-10-26,10,68,32,21,16,13,1,8,7
2020-10-27,10,64,33,22,14,12,3,5,4
2020-10-28,10,70,37,30,8,8,4,0,0
2020-10-29,10,72,33,30,8,12,4,1,0
2020-10-30,10,72,35,27,8,10,2,4,2
2020-11-02,10,78,36,30,8,9,2,4,2
2020-11-03,10,80,30,25,6,15,3,10,0
2020-11-04,10,74,37,28,6,8,2,4,1
2020-11-05,10,74,34,28,10,11,3,4,2
2020-11-06,10,76,45,33,10,0,0,0,5
2020-11-09,10,70,42,29,10,3,1,1,4
2020-11-10,10,66,31,21,10,14,2,7,3
2020-11-11,10,62,39,26,14,6,2,0,5
2020-11-12,10,58,43,24,24,2,1,0,11
2020-11-13,10,58,41,22,24,4,2,2,10
2020-11-16,10,58,37,21,26,8,3,3,10
2020-11-17,10,58,44,24,24,1,1,0,11
2020-11-18,10,60,45,25,22,0,0,0,11
2020-11-19,10,56,42,23,18,3,1,0,8
2020-11-20,10,54,45,22,14,0,0,0,7
2020-11-23,10,54,35,18,16,10,2,4,6
2020-11-24,10,56,39,19,20,6,1,4,9
2020-11-25,10,58,45,24,16,0,0,0,8
2020-11-27,10,56,45,23,16,0,0,0,8
2020-11-30,10,54,39,21,16,6,2,1,6
2020-12-01,10,52,45,21,14,0,0,0,7
2020-12-02,10,52,45,21,12,0,0,0,6
2020-12-03,10,54,45,22,10,0,0,0,5
2020-12-04,10,58,45,24,10,0,0,0,5
2020-12-07,10,58,45,24,8,0,0,0,4
2020-12-08,10,58,45,24,8,0,0,0,4
2020-12-09,10,60,43,25,10,2,1,0,4
2020-12-10,10,62,36,22,10,9,2,4,3
2020-12-11,10,64,42,27,10,3,2,0,3
2020-12-14,10,64,45,27,10,0,0,0,5
2020-12-15,10,66,41,27,8,4,0,1,4
2020-12-16,10,70,45,30,8,0,0,0,4
2020-12-17,10,72,45,31,8,0,0,0,4
2020-12-18,10,72,40,28,8,5,2,3,2
2020-12-21,10,72,28,21,8,17,3,10,1
2020-12-22,10,70,31,24,10,14,1,6,4
2020-12-23,10,66,31,25,14,14,4,3,3
2020-12-24,10,62,40,26,14,5,2,0,5
2020-12-28,10,58,35,20,14,10,2,4,5
2020-12-29,10,50,37,18,18,8,3,2,6
2020-12-30,10,50,32,18,20,13,5,2,5
2020-12-31,10,46,44,18,26,1,0,0,13
2021-01-04,10,44,32,11,34,13,5,6,12
2021-01-05,10,42,41,15,36,4,2,1,16
2021-01-06,10,40,35,14,34,10,3,1,14
2021-01-07,10,40,42,15,32,3,1,0,15
2021-01-08,10,40,37,14,36,8,3,1,15
2021-01-11,10,40,34,13,32,11,4,2,12
2021-01-12,10,40,27,11,36,18,10,4,8
2021-01-13,10,38,37,13,36,8,5,1,13
2021-01-14,10,36,33,11,36,12,5,2,13
2021-01-15,10,36,27,9,36,18,6,4,12
2021-01-19,10,36,32,11,40,13,4,2,16
2021-01-20,10,34,38,10,38,7,3,2,16
2021-01-21,10,38,36,11,36,9,5,3,13
2021-01-22,10,38,44,14,36,1,1,0,17
2021-01-25,10,38,43,13,34,2,1,1,16
2021-01-26,10,38,45,14,30,0,0,0,15
2021-01-27,10,40,33,13,30,12,5,2,10
2021-01-28,10,40,31,14,24,14,7,1,5
2021-01-29,10,40,34,15,24,11,5,0,7
2021-02-01,10,44,38,17,26,7,3,0,10
2021-02-02,10,44,41,17,26,4,2,0,11
2021-02-03,10,44,44,17,26,1,1,0,12
2021-02-04,10,48,45,19,28,0,0,0,14
2021-02-05,10,48,43,18,26,2,1,1,12
2021-02-08,10,48,45,19,24,0,0,0,12
2021-02-09,10,46,45,18,26,0,0,0,13
2021-02-10,10,44,36,16,22,9,3,1,8
2021-02-11,10,42,38,15,22,7,3,1,8
2021-02-12,10,42,38,16,20,7,4,0,6
2021-02-16,10,42,30,13,26,15,6,3,7
2021-02-17,10,46,25,14,26,20,9,4,4
2021-02-18,10,42,26,14,24,19,8,2,4
2021-02-19,10,42,32,14,30,13,7,2,8
2021-02-22,10,46,29,16,32,16,10,2,6
2021-02-23,10,44,25,14,32,20,14,3,2
2021-02-24,10,44,26,15,36,19,14,2,4
2021-02-25,10,44,32,17,36,13,12,0,6
2021-02-26,10,44,27,15,34,18,13,2,4
2021-03-01,10,46,31,18,32,14,11,0,5
2021-03-02,10,46,36,17,34,9,8,1,9
2021-03-03,10,48,32,17,34,13,9,2,8
2021-03-04,10,52,40,20,34,5,3,1,14
2021-03-05,10,52,38,18,34,7,2,3,15
2021-03-08,10,52,38,21,34,7,6,0,11
2021-03-09,10,52,33,20,34,12,9,1,8
2021-03-10,10,52,45,21,36,0,0,0,18
2021-03-11,10,52,45,21,34,0,0,0,17
2021-03-12,10,50,45,20,36,0,0,0,18
2021-03-15,10,48,45,19,36,0,0,0,18
2021-03-16,10,48,45,19,32,0,0,0,16
2021-03-17,10,50,41,18,32,4,2,2,14
2021-03-18,10,54,43,22,32,2,2,0,14
2021-03-19,10,54,37,22,32,8,6,0,10
2021-03-22,10,56,41,23,32,4,3,0,13
2021-03-23,10,58,43,22,32,2,0,2,16
2021-03-24,10,58,43,23,32,2,1,1,15
2021-03-25,10,58,35,19,24,10,3,5,9
2021-03-26,10,58,44,24,24,1,1,0,11
2021-03-29,10,58,34,18,24,11,2,6,10
2021-03-30,10,58,35,19,22,10,3,5,8
2021-03-31,10,60,45,25,24,0,0,0,12
2021-04-01,10,60,45,25,26,0,0,0,13
2021-04-05,10,58,39,23,20,6,1,1,9
2021-04-06,10,56,45,23,24,0,0,0,12
2021-04-07,10,58,38,22,24,7,4,2,8
2021-04-08,10,60,33,23,26,12,9,2,4
2021-04-09,10,62,42,25,28,3,2,1,12
2021-04-12,10,64,32,24,26,13,10,3,3
2021-04-13,10,68,29,25,26,16,12,4,1
2021-04-14,10,68,32,26,26,13,10,3,3
2021-04-15,10,66,34,25,26,11,8,3,5
2021-04-16,10,68,34,24,26,11,6,5,7
2021-04-19,10,64,35,24,28,10,6,3,8
2021-04-20,10,64,30,23,28,15,10,4,4
2021-04-21,10,66,29,24,28,16,10,4,4
2021-04-22,10,66,42,25,28,3,0,3,14
2021-04-23,10,62,31,21,30,14,7,5,8
2021-04-26,10,60,37,21,30,8,2,4,13
2021-04-27,10,54,33,17,30,12,2,5,13
2021-04-28,10,54,34,19,30,11,3,3,12
2021-04-29,10,54,31,15,30,14,3,7,12
2021-04-30,10,52,34,19,30,11,5,2,10
2021-05-03,10,52,42,20,34,3,2,1,15
2021-05-04,10,48,41,17,34,4,2,2,15
2021-05-05,10,46,40,14,32,5,1,4,15
2021-05-06,10,44,41,15,30,4,2,2,13
2021-05-07,10,44,36,12,32,9,3,5,13
2021-05-10,10,42,37,13,32,8,5,3,11
2021-05-11,10,46,41,15,22,4,1,3,10
2021-05-12,10,52,44,20,22,1,0,1,11
2021-05-13,10,62,43,24,18,2,0,2,9
2021-05-14,10,64,35,18,18,10,0,9,9
2021-05-17,10,64,31,19,20,14,5,8,5
2021-05-18,10,64,40,25,22,5,2,2,9
2021-05-19,10,66,35,23,22,10,4,5,7
2021-05-20,10,64,32,19,22,13,3,8,8
2021-05-21,10,66,36,22,22,9,2,6,9
2021-05-24,10,66,43,27,24,2,1,1,11
2021-05-25,10,70,44,30,18,1,1,0,8
2021-05-26,10,72,45,31,16,0,0,0,8
2021-05-27,10,74,44,31,12,1,0,1,6
2021-05-28,10,74,44,31,12,1,0,1,6
2021-06-01,10,78,45,34,10,0,0,0,5
2021-06-02,10,80,43,35,8,2,2,0,2
2021-06-03,10,80,42,33,10,3,1,2,4
2021-06-04,10,84,43,36,10,2,1,1,4
