epoch,snapshot,param,grad_mean,grad_std,grad_min,grad_max,nan_count,inf_count
0,2020-05-08,feature_encoder.weight,5.820766091346741e-10,0.05470694974064827,-0.19304275512695312,0.17112064361572266,0,0
0,2020-05-08,feature_encoder.bias,2.3283064365386963e-10,0.05361799895763397,-0.1593138724565506,0.15211886167526245,0,0
0,2020-05-08,feature_norm.weight,0.002762247109785676,0.0427449531853199,-0.17942610383033752,0.12550994753837585,0,0
0,2020-05-08,feature_norm.bias,-0.004218416754156351,0.035845447331666946,-0.1025547981262207,0.08984105288982391,0,0
0,2020-05-08,pos_conv.bias,-0.0002655602293089032,0.011455482803285122,-0.02738751284778118,0.026501193642616272,0,0
0,2020-05-08,pos_conv.lin.weight,-2.2282620193436742e-11,0.0076875584200024605,-0.037027884274721146,0.036611158400774,0,0
0,2020-05-08,neg_conv.bias,-0.0001789235684555024,0.011503046378493309,-0.023006726056337357,0.036296047270298004,0,0
0,2020-05-08,neg_conv.lin.weight,-2.1827872842550278e-11,0.01315335463732481,-0.06843744963407516,0.06652156263589859,0,0
0,2020-05-08,pair_norm.weight,0.0012727095745503902,0.019437966868281364,-0.060481809079647064,0.05894319340586662,0,0
0,2020-05-08,pair_norm.bias,-0.0022165500558912754,0.014891371130943298,-0.046501465141773224,0.026696043089032173,0,0
0,2020-05-08,ode_func.psi.0.weight,-0.0001163123088190332,0.02694639377295971,-0.2973024547100067,0.29648393392562866,0,0
0,2020-05-08,ode_func.layer_norm.weight,-0.0007874214206822217,0.01233447715640068,-0.04014686495065689,0.0468788780272007,0,0
0,2020-05-08,ode_func.layer_norm.bias,0.003020910546183586,0.01797773689031601,-0.036446887999773026,0.048046305775642395,0,0
0,2020-05-08,predictor.0.weight,-1.418811734765768e-10,0.02998247556388378,-0.1927008181810379,0.1635938435792923,0,0
0,2020-05-08,predictor.0.bias,-0.0004867092939093709,0.023639505729079247,-0.05631208419799805,0.08947877585887909,0,0
0,2020-05-08,predictor.2.weight,-0.03591151908040047,0.20591655373573303,-0.6213752031326294,0.4984825849533081,0,0
